Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_17-10-2025_00-28-27], -0.00990399, 0.0294923, -0.0090802
[Jumat_17-10-2025_00-28-28], 0.916989, -0.138548, -0.200227
[Jumat_17-10-2025_00-28-28], 0.564961, -0.0734894, -0.543157
[Jumat_17-10-2025_00-28-29], -0.629063, -0.0103465, 0.474037
[Jumat_17-10-2025_00-28-29], -0.326181, -0.0340173, 0.0191671
[Jumat_17-10-2025_00-28-30], 0.0944568, -0.533625, -0.165005
[Jumat_17-10-2025_00-28-30], -0.164891, 0.948934, 0.247549
[Jumat_17-10-2025_00-28-31], 0.739509, -1.38226, -0.960215
[Jumat_17-10-2025_00-28-31], -0.878572, 0.781091, 0.209907
[Jumat_17-10-2025_00-28-32], -0.556648, 0.171213, 0.37077
[Jumat_17-10-2025_00-28-32], -0.0793172, -0.681838, -0.328213
[Jumat_17-10-2025_00-28-33], 0.586726, 0.908281, -0.191788
[Jumat_17-10-2025_00-28-33], 0.832315, -0.550754, -1.03071
[Jumat_17-10-2025_00-28-34], -0.400406, 0.498714, 0.188848
[Jumat_17-10-2025_00-28-34], -0.458471, -0.00477516, 0.658687
[Jumat_17-10-2025_00-28-35], -0.0543114, -1.02495, -0.50389
[Jumat_17-10-2025_00-28-35], -0.0177847, 1.26062, -0.73488
[Jumat_17-10-2025_00-28-36], 0.8752, -0.892561, -1.07174
[Jumat_17-10-2025_00-28-36], -0.662326, 0.673757, 0.428911
[Jumat_17-10-2025_00-28-37], -0.584793, -0.430223, 1.07115
[Jumat_17-10-2025_00-28-37], -0.0471494, -0.192802, -0.826222
[Jumat_17-10-2025_00-28-41], 0.088035, 0.981052, -0.0685983
[Jumat_17-10-2025_00-28-42], 0.0703007, -0.376528, -0.0307356
[Jumat_17-10-2025_00-28-42], -0.437493, 0.0790877, 1.23862
[Jumat_17-10-2025_00-28-43], -0.388195, 0.213177, 0.190133
[Jumat_17-10-2025_00-28-45], 0.226188, -0.48233, -0.368329
[Jumat_17-10-2025_00-28-46], 1.04888, 0.0154021, -0.731303
[Jumat_17-10-2025_00-28-46], -0.665771, -0.122339, -0.0274417
[Jumat_17-10-2025_00-28-47], 0.062357, 0.630061, 0.260135
[Jumat_17-10-2025_00-28-47], 0.0621234, -0.836384, -0.764293
[Jumat_17-10-2025_00-28-48], 0.920414, -0.172762, -0.756319
[Jumat_17-10-2025_00-28-48], -0.771011, -0.107266, 1.26168
[Jumat_17-10-2025_00-28-49], -0.0705627, 0.324347, 0.636526
[Jumat_17-10-2025_00-28-49], -0.304886, 0.331116, 0.182613
[Jumat_17-10-2025_00-28-50], -1.04727, -0.37324, 1.17523
[Jumat_17-10-2025_00-28-50], 0.390325, -0.0461363, 0.454438
[Jumat_17-10-2025_00-28-51], 0.589908, 0.0202082, -1.65591
[Jumat_17-10-2025_00-28-51], -0.251436, 0.0979563, 0.672384
[Jumat_17-10-2025_00-28-52], -0.483137, -0.0692491, -0.363337
[Jumat_17-10-2025_00-28-52], -0.620741, -0.123789, 0.604144
