Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_17-10-2025_00-29-35], -0.00106719, 0.0780426, -0.0120518
[Jumat_17-10-2025_00-29-35], 0.65626, 0.0923466, 0.19083
[Jumat_17-10-2025_00-29-36], 0.572335, -0.556031, -0.69169
[Jumat_17-10-2025_00-29-36], -0.959547, 0.11558, 0.0995493
[Jumat_17-10-2025_00-29-37], -0.32947, -0.164262, 0.292422
[Jumat_17-10-2025_00-29-37], 0.516549, 0.20072, -0.488715
[Jumat_17-10-2025_00-29-38], -0.117078, 0.989035, 0.269095
[Jumat_17-10-2025_00-29-38], 0.620777, -1.26464, -0.524063
[Jumat_17-10-2025_00-29-39], -0.59062, 0.781178, 0.278122
[Jumat_17-10-2025_00-29-39], -0.696495, -0.19614, 0.708363
[Jumat_17-10-2025_00-29-40], 0.407915, -0.381619, -0.494429
[Jumat_17-10-2025_00-29-40], -0.157973, 0.968476, 0.275677
[Jumat_17-10-2025_00-29-41], 0.694142, -1.25883, -0.877964
[Jumat_17-10-2025_00-29-41], -0.608522, 0.710046, 0.0213397
[Jumat_17-10-2025_00-29-42], -0.463193, -0.356462, 0.690511
[Jumat_17-10-2025_00-29-42], 0.0394367, -0.777977, -0.37527
[Jumat_17-10-2025_00-29-43], 0.00848127, 0.811268, 0.239164
[Jumat_17-10-2025_00-29-43], 0.627315, -1.20984, -0.947031
[Jumat_17-10-2025_00-29-44], -0.843218, 0.643826, 0.140091
[Jumat_17-10-2025_00-29-44], -0.633277, -0.886833, 0.463896
[Jumat_17-10-2025_00-29-45], 0.190126, -0.216603, -0.978659
[Jumat_17-10-2025_00-29-45], 0.143222, 1.4806, -0.754269
[Jumat_17-10-2025_00-29-46], 0.536371, -1.56584, -0.417077
[Jumat_17-10-2025_00-29-46], -0.571608, 0.891846, 0.342448
[Jumat_17-10-2025_00-29-47], -0.688975, -0.138701, 0.781789
[Jumat_17-10-2025_00-29-47], 0.488866, -0.0591645, -0.65686
[Jumat_17-10-2025_00-29-48], 0.0775877, 0.698431, 0.15502
[Jumat_17-10-2025_00-29-48], 0.701849, -1.31049, -1.20293
[Jumat_17-10-2025_00-29-49], -0.82855, 0.856494, -0.0644483
[Jumat_17-10-2025_00-29-49], -0.64647, 0.146759, 0.79767
[Jumat_17-10-2025_00-29-50], 1.00372, 0.054746, -0.848122
[Jumat_17-10-2025_00-29-50], -0.451375, 0.906256, 0.499839
[Jumat_17-10-2025_00-29-51], -0.153032, 0.0198477, 0.0179514
[Jumat_17-10-2025_00-29-51], 0.0248894, -0.0285093, -0.00356071
[Jumat_17-10-2025_00-29-52], 0.00296085, 0.0222232, 0.00356324
[Jumat_17-10-2025_00-29-53], -0.000162792, 0.00747585, -0.00175492
[Jumat_17-10-2025_00-29-53], -2.93205e-05, 0.00845002, -0.00272578
[Jumat_17-10-2025_00-29-54], -3.64887e-07, 0.0114601, -4.80367e-07
[Jumat_17-10-2025_00-29-54], -0.000431966, 0.0153017, -0.00145737
[Jumat_17-10-2025_00-29-55], 0.00319045, -0.0101521, -0.0235899
[Jumat_17-10-2025_00-29-55], -0.00381572, 0.00040993, -0.000836828
[Jumat_17-10-2025_00-29-56], -0.0152442, 0.0290102, -0.0106063
[Jumat_17-10-2025_00-29-56], -0.00757831, -0.0013909, -0.00622421
