Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_17-10-2025_00-26-42], -0.0128574, 0.0645403, 0.00150454
[Jumat_17-10-2025_00-26-43], 0.99545, 0.177565, -0.64433
[Jumat_17-10-2025_00-26-43], 0.487768, 0.161307, -0.201546
[Jumat_17-10-2025_00-26-44], -0.439589, 0.155441, 0.383162
[Jumat_17-10-2025_00-26-44], -0.224872, 0.121602, -0.0767996
[Jumat_17-10-2025_00-26-45], -0.120515, -0.859658, -0.103213
[Jumat_17-10-2025_00-26-45], 0.312203, 0.921648, -0.268244
[Jumat_17-10-2025_00-26-46], 0.691584, -0.719638, -0.99116
[Jumat_17-10-2025_00-26-46], -0.653089, 0.730451, 0.47242
[Jumat_17-10-2025_00-26-47], -0.440451, 0.0875612, 0.334937
[Jumat_17-10-2025_00-26-47], 0.141418, -0.675466, -0.366202
[Jumat_17-10-2025_00-26-48], 0.0979989, 0.896916, -0.0833232
[Jumat_17-10-2025_00-26-48], 0.741478, -0.913363, -1.0842
[Jumat_17-10-2025_00-26-49], -0.415319, 0.439718, 0.609492
[Jumat_17-10-2025_00-26-50], -0.477576, 0.0288668, 0.271875
[Jumat_17-10-2025_00-26-50], -0.260625, -0.961624, -0.0474594
[Jumat_17-10-2025_00-26-51], 0.591489, 0.91833, -0.134974
[Jumat_17-10-2025_00-26-51], 0.898105, -0.431739, -1.00309
[Jumat_17-10-2025_00-26-52], -0.112272, -0.0899797, 0.648601
[Jumat_17-10-2025_00-26-52], -0.194588, 0.897512, 0.0659021
[Jumat_17-10-2025_00-26-53], -0.639784, -1.29536, 0.42926
[Jumat_17-10-2025_00-26-53], 0.881349, 0.92006, -0.104553
[Jumat_17-10-2025_00-26-54], 0.511436, -1.33049, -0.930458
[Jumat_17-10-2025_00-26-54], -0.598299, 0.403615, 1.04201
[Jumat_17-10-2025_00-26-55], -0.453282, 0.662917, 0.555142
[Jumat_17-10-2025_00-26-55], -0.246827, -1.05598, -0.604209
[Jumat_17-10-2025_00-26-56], 0.744024, 0.837005, -0.0636621
[Jumat_17-10-2025_00-26-56], 0.815586, -0.664727, -1.17986
[Jumat_17-10-2025_00-26-57], -0.32375, 0.317861, 0.781188
[Jumat_17-10-2025_00-26-57], -0.225232, 0.859369, 0.196019
[Jumat_17-10-2025_00-26-58], -0.391675, -1.27701, -0.483402
[Jumat_17-10-2025_00-26-58], 1.14296, 0.0637216, -0.161438
[Jumat_17-10-2025_00-26-59], -0.165016, 0.0908336, -0.0749462
[Jumat_17-10-2025_00-26-59], -0.81255, 0.282655, 0.391859
[Jumat_17-10-2025_00-27-00], 0.203101, 0.0203795, -0.061711
[Jumat_17-10-2025_00-27-00], -1.03962, -0.571949, 1.01916
[Jumat_17-10-2025_00-27-01], 0.30519, 0.0379553, -0.50962
[Jumat_17-10-2025_00-27-01], 0.0128052, -0.0165261, -0.00349147
[Jumat_17-10-2025_00-27-02], -0.00530713, 0.0326797, -0.00303693
[Jumat_17-10-2025_00-27-02], 0.00146266, 0.00274336, -0.0027392
[Jumat_17-10-2025_00-27-03], -0.00421154, 0.013379, -6.61824e-10
[Jumat_17-10-2025_00-27-03], -0.000160301, 0.00377686, 0.00500412
[Jumat_17-10-2025_00-27-04], -0.0157313, -0.0168291, 0.00109738
[Jumat_17-10-2025_00-27-53], -0.00628774, -0.0305336, -0.00957837
