Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_17-10-2025_00-22-32], -0.00390141, 0.0648924, -0.00673017
[Jumat_17-10-2025_00-22-33], 0.908992, 0.013539, 0.0279621
[Jumat_17-10-2025_00-22-33], 0.657459, -0.196713, -0.644211
[Jumat_17-10-2025_00-22-34], -0.868897, -0.0798421, 0.410615
[Jumat_17-10-2025_00-22-34], -0.387329, -0.0904958, 0.0307231
[Jumat_17-10-2025_00-22-35], 0.265751, -0.354988, -0.538962
[Jumat_17-10-2025_00-22-35], -0.0271622, 0.958324, 0.146587
[Jumat_17-10-2025_00-22-36], 0.658856, -1.33549, -1.04592
[Jumat_17-10-2025_00-22-36], -0.846641, 0.734998, 0.0863055
[Jumat_17-10-2025_00-22-37], -0.529576, 0.0644229, 0.457436
[Jumat_17-10-2025_00-22-37], 0.318258, -0.498714, -0.76288
[Jumat_17-10-2025_00-22-38], 0.162686, 0.910672, 0.0646253
[Jumat_17-10-2025_00-22-38], 0.691046, -1.26793, -1.00604
[Jumat_17-10-2025_00-22-39], -0.712122, 0.61891, -0.0537995
[Jumat_17-10-2025_00-22-39], -0.515124, -0.374312, 0.713515
[Jumat_17-10-2025_00-22-40], 0.434099, -0.12836, -0.471289
[Jumat_17-10-2025_00-22-40], -0.105391, 0.873302, 0.242467
[Jumat_17-10-2025_00-22-41], 0.646282, -1.26979, -0.837769
[Jumat_17-10-2025_00-22-41], -0.941273, 0.61798, 0.063334
[Jumat_17-10-2025_00-22-42], -0.664164, -0.641955, 0.457268
[Jumat_17-10-2025_00-22-42], 0.292821, -0.298834, -1.23983
[Jumat_17-10-2025_00-22-43], 0.358017, 1.06887, -0.527968
[Jumat_17-10-2025_00-22-43], 0.513429, -1.90484, -0.770438
[Jumat_17-10-2025_00-22-44], -0.401118, 0.822295, -0.0719165
[Jumat_17-10-2025_00-22-44], -0.467118, -0.448691, 0.344033
[Jumat_17-10-2025_00-22-45], 0.445416, -0.0624748, -0.75856
[Jumat_17-10-2025_00-22-45], 0.118461, 0.562389, 0.217014
[Jumat_17-10-2025_00-22-46], 0.717779, -1.37976, -0.707662
[Jumat_17-10-2025_00-22-46], -1.02936, 0.758791, 0.162753
[Jumat_17-10-2025_00-22-47], -1.12069, -0.0242785, 1.29884
[Jumat_17-10-2025_00-22-47], 0.414207, 0.0063804, -0.613547
[Jumat_17-10-2025_00-22-48], 0.388639, 0.214663, 0.390431
[Jumat_17-10-2025_00-22-48], 0.0284997, -0.81918, -0.43271
[Jumat_17-10-2025_00-22-49], -0.872187, 0.0476583, 0.346371
[Jumat_17-10-2025_00-22-49], 0.261976, 0.00161077, 0.00465604
[Jumat_17-10-2025_00-22-50], 0.0333877, 0.0091395, 0.000662854
[Jumat_17-10-2025_00-22-50], -0.00815698, 0.0266397, -0.000601681
[Jumat_17-10-2025_00-22-51], -0.00205011, 0.00171771, -0.00121593
[Jumat_17-10-2025_00-22-51], -0.00104748, 0.00627715, -0.00563164
[Jumat_17-10-2025_00-22-52], 0.00505683, 0.00574978, 0.00441656
[Jumat_17-10-2025_00-24-22], -0.00292983, -0.0167626, -0.00898296
