Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-25-26], 3.16481, 20.3514, -44.9562
[Jumat_17-10-2025_00-25-27], -7.74311, 0.852251, -44.7376
[Jumat_17-10-2025_00-25-27], -3.91839, 24.1218, -44.9328
[Jumat_17-10-2025_00-25-28], 11.4733, -0.786153, -44.4218
[Jumat_17-10-2025_00-25-28], -1.09062, 12.607, -44.9948
[Jumat_17-10-2025_00-25-29], 5.86113, 23.2288, -44.8496
[Jumat_17-10-2025_00-25-29], -9.44128, -1.54038, -44.6093
[Jumat_17-10-2025_00-25-30], -6.55561, 26.4925, -44.8116
[Jumat_17-10-2025_00-25-30], 9.17039, 3.11987, -44.6315
[Jumat_17-10-2025_00-25-31], 0.425344, 12.0806, -44.9992
[Jumat_17-10-2025_00-25-31], 0.558862, 15.5421, -44.9986
[Jumat_17-10-2025_00-25-32], -11.3569, 3.4821, -44.4335
[Jumat_17-10-2025_00-25-32], -6.38251, 18.1112, -44.8217
[Jumat_17-10-2025_00-25-33], 2.84659, 11.3693, -44.9646
[Jumat_17-10-2025_00-25-33], 4.21452, 16.9666, -44.9224
[Jumat_17-10-2025_00-25-34], -2.32591, 12.9136, -44.9764
[Jumat_17-10-2025_00-25-34], -7.32279, 8.42418, -44.7653
[Jumat_17-10-2025_00-25-35], 6.7308, 17.9973, -44.8017
[Jumat_17-10-2025_00-25-35], -72.5579, -26.839, -16.4798
[Jumat_17-10-2025_00-25-36], -42.1924, 8.53814, -36.532
[Jumat_17-10-2025_00-25-36], 0.265754, 10.423, -44.9997
[Jumat_17-10-2025_00-25-37], -0.258709, 8.96789, -44.9997
[Jumat_17-10-2025_00-25-38], -2.24304, 12.5441, -44.978
[Jumat_17-10-2025_00-25-38], -2.06353, 12.8107, -44.9814
[Jumat_17-10-2025_00-25-39], -2.27334, 14.3173, -44.9774
[Jumat_17-10-2025_00-25-39], -1.94205, 11.5144, -44.9835
[Jumat_17-10-2025_00-25-40], -3.04583, 23.4709, -44.9594
[Jumat_17-10-2025_00-25-40], -5.10167, 17.7438, -44.8862
[Jumat_17-10-2025_00-25-41], 0.972858, 21.4457, -44.9959
[Jumat_17-10-2025_00-25-41], -8.31049, 15.9943, -44.6973
[Jumat_17-10-2025_00-25-42], -3.53785, 21.8364, -44.9453
[Jumat_17-10-2025_00-25-42], -1.93301, 24.4669, -44.9837
[Jumat_17-10-2025_00-25-43], 0.188495, 18.4794, -44.9998
[Jumat_17-10-2025_00-25-43], 1.09724, 19.1345, -44.9947
[Jumat_17-10-2025_00-25-44], -2.2028, 17.6017, -44.9788
[Jumat_17-10-2025_00-25-44], 5.65747, 18.1539, -44.86
[Jumat_17-10-2025_00-25-45], -1.63942, 20.4297, -44.9883
[Jumat_17-10-2025_00-25-45], 1.80814, 17.6035, -44.9857
[Jumat_17-10-2025_00-25-46], 0.978457, 16.4041, -44.9958
[Jumat_17-10-2025_00-25-46], -0.310239, 21.6492, -44.9996
[Jumat_17-10-2025_00-25-47], 0.569703, 21.7487, -44.9986
[Jumat_17-10-2025_00-25-47], 0.56509, 21.6839, -44.9986
[Jumat_17-10-2025_00-25-48], 0.284314, 21.1491, -44.9996
[Jumat_17-10-2025_00-25-48], -0.155482, 19.0995, -44.9999
[Jumat_17-10-2025_00-25-49], -0.230436, 15.314, -44.9998
[Jumat_17-10-2025_00-25-49], -1.36647, 14.5087, -44.9918
[Jumat_17-10-2025_00-25-50], 0.0547363, 15.2478, -45
[Jumat_17-10-2025_00-25-50], -0.834649, 13.7548, -44.997
[Jumat_17-10-2025_00-25-51], -0.575458, 14.5999, -44.9986
[Jumat_17-10-2025_00-25-51], -0.699476, 13.8945, -44.9979
[Jumat_17-10-2025_00-25-52], 0.0381678, 15.1987, -45
[Jumat_17-10-2025_00-26-10], -1.45482, 8.72087, -44.9908
