Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-22-32], -1.81371, 7.92293, -44.9856
[Jumat_17-10-2025_00-22-32], -1.12407, 14.3114, -44.9945
[Jumat_17-10-2025_00-22-33], -14.9796, 13.023, -44.0092
[Jumat_17-10-2025_00-22-33], -0.263982, 13.5756, -44.9997
[Jumat_17-10-2025_00-22-34], 5.59209, 13.1986, -44.8633
[Jumat_17-10-2025_00-22-34], -12.2011, 7.0344, -44.3454
[Jumat_17-10-2025_00-22-35], -7.73058, 20.8956, -44.7381
[Jumat_17-10-2025_00-22-35], 12.0827, 10.4614, -44.358
[Jumat_17-10-2025_00-22-36], 0.655795, 10.083, -44.9981
[Jumat_17-10-2025_00-22-36], 2.43264, 20.0893, -44.9741
[Jumat_17-10-2025_00-22-37], -13.0766, 2.57971, -44.2474
[Jumat_17-10-2025_00-22-37], -3.46174, 28.7638, -44.9475
[Jumat_17-10-2025_00-22-38], 2.39996, 12.5686, -44.9748
[Jumat_17-10-2025_00-22-38], -1.63907, 12.925, -44.9883
[Jumat_17-10-2025_00-22-39], 1.23893, 25.184, -44.9933
[Jumat_17-10-2025_00-22-39], -11.9227, 4.45085, -44.3752
[Jumat_17-10-2025_00-22-40], -2.13596, 22.5506, -44.9801
[Jumat_17-10-2025_00-22-40], 10.2978, 8.78477, -44.5347
[Jumat_17-10-2025_00-22-41], 0.389675, 13.5017, -44.9993
[Jumat_17-10-2025_00-22-41], 1.93241, 22.3251, -44.9837
[Jumat_17-10-2025_00-22-42], -5.92684, 1.19867, -44.8465
[Jumat_17-10-2025_00-22-42], -6.84682, 22.2472, -44.7946
[Jumat_17-10-2025_00-22-43], 2.06968, 2.21288, -44.9813
[Jumat_17-10-2025_00-22-43], 5.28718, 14.277, -44.8778
[Jumat_17-10-2025_00-22-44], -6.01203, 18.0939, -44.8418
[Jumat_17-10-2025_00-22-44], -10.5376, 1.4557, -44.5128
[Jumat_17-10-2025_00-22-45], -4.07123, 26.1191, -44.9274
[Jumat_17-10-2025_00-22-45], 8.06545, 2.01037, -44.7152
[Jumat_17-10-2025_00-22-46], 0.394788, 19.2856, -44.9993
[Jumat_17-10-2025_00-22-46], -1.31409, 17.0217, -44.9925
[Jumat_17-10-2025_00-22-47], -17.5161, 11.047, -43.6398
[Jumat_17-10-2025_00-22-47], -4.17806, 14.9974, -44.9237
[Jumat_17-10-2025_00-22-48], -7.4502, 15.6289, -44.7569
[Jumat_17-10-2025_00-22-48], 5.33032, 16.4967, -44.8757
[Jumat_17-10-2025_00-22-49], 2.09455, 11.2753, -44.9808
[Jumat_17-10-2025_00-22-49], -6.64866, 12.4978, -44.8066
[Jumat_17-10-2025_00-22-50], 0.410492, 14.3896, -44.9993
[Jumat_17-10-2025_00-22-50], -2.61072, 14.3479, -44.9702
[Jumat_17-10-2025_00-22-51], -1.89107, 14.2355, -44.9844
[Jumat_17-10-2025_00-22-51], -1.74183, 14.4028, -44.9868
[Jumat_17-10-2025_00-22-52], -1.43436, 14.2602, -44.991
[Jumat_17-10-2025_00-24-22], -2.42119, 8.62554, -44.9744
