Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-26-41], -2.24565, 9.14252, -44.978
[Jumat_17-10-2025_00-26-42], -1.39248, 9.11799, -44.9915
[Jumat_17-10-2025_00-26-42], -1.64216, 14.5322, -44.9882
[Jumat_17-10-2025_00-26-43], -7.34343, 15.0921, -44.7639
[Jumat_17-10-2025_00-26-44], 11.7101, 7.6691, -44.3974
[Jumat_17-10-2025_00-26-44], -0.42327, 15.7765, -44.9992
[Jumat_17-10-2025_00-26-45], -5.71166, 6.29229, -44.8574
[Jumat_17-10-2025_00-26-45], -7.94032, 3.07835, -44.724
[Jumat_17-10-2025_00-26-46], -5.63943, 19.1559, -44.8608
[Jumat_17-10-2025_00-26-46], 6.04426, -0.0454535, -44.8403
[Jumat_17-10-2025_00-26-47], 1.46029, 21.2362, -44.9907
[Jumat_17-10-2025_00-26-47], -2.99178, 19.7254, -44.9609
[Jumat_17-10-2025_00-26-48], -7.48595, 6.75697, -44.7548
[Jumat_17-10-2025_00-26-48], -5.21701, 28.0207, -44.8807
[Jumat_17-10-2025_00-26-49], 7.36192, 3.09617, -44.7629
[Jumat_17-10-2025_00-26-49], 2.36199, 20.4774, -44.9756
[Jumat_17-10-2025_00-26-50], -13.5981, 11.0667, -44.1853
[Jumat_17-10-2025_00-26-50], -11.3907, 0.662953, -44.4301
[Jumat_17-10-2025_00-26-51], -5.95004, 23.7966, -44.8449
[Jumat_17-10-2025_00-26-51], 9.33916, 1.0293, -44.6177
[Jumat_17-10-2025_00-26-52], 2.03997, 20.1203, -44.9818
[Jumat_17-10-2025_00-26-52], -7.77429, 14.6095, -44.7353
[Jumat_17-10-2025_00-26-53], -4.38324, 6.22811, -44.9161
[Jumat_17-10-2025_00-26-53], -9.47189, 23.7902, -44.606
[Jumat_17-10-2025_00-26-54], 8.95989, -5.09258, -44.6483
[Jumat_17-10-2025_00-26-54], 0.451426, 17.8367, -44.9991
[Jumat_17-10-2025_00-26-55], -10.7091, 12.0034, -44.4964
[Jumat_17-10-2025_00-26-55], -8.62033, 5.22441, -44.6745
[Jumat_17-10-2025_00-26-56], -7.5103, 21.4188, -44.7528
[Jumat_17-10-2025_00-26-56], 9.95575, 0.129674, -44.5653
[Jumat_17-10-2025_00-26-57], 1.46326, 20.2556, -44.9906
[Jumat_17-10-2025_00-26-57], -12.7595, 13.4678, -44.2833
[Jumat_17-10-2025_00-26-58], -6.44037, 6.914, -44.8186
[Jumat_17-10-2025_00-26-58], -4.68918, 13.4517, -44.9039
[Jumat_17-10-2025_00-26-59], -0.279385, 14.6697, -44.9997
[Jumat_17-10-2025_00-26-59], 6.25093, 16.1311, -44.829
[Jumat_17-10-2025_00-27-00], 2.9584, 9.32869, -44.9618
[Jumat_17-10-2025_00-27-00], -9.49683, 8.77585, -44.6046
[Jumat_17-10-2025_00-27-01], -8.06197, 13.1867, -44.7153
[Jumat_17-10-2025_00-27-01], -2.43806, 13.213, -44.974
[Jumat_17-10-2025_00-27-02], -1.38003, 14.4323, -44.9917
[Jumat_17-10-2025_00-27-02], -1.9348, 14.0691, -44.9837
[Jumat_17-10-2025_00-27-03], -1.87511, 14.157, -44.9846
[Jumat_17-10-2025_00-27-03], -1.7362, 13.5844, -44.9868
[Jumat_17-10-2025_00-27-04], -2.04496, 13.3972, -44.9817
[Jumat_17-10-2025_00-27-53], -2.28478, 9.19299, -44.9772
