Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-29-34], -1.16674, 7.30633, -44.9941
[Jumat_17-10-2025_00-29-35], -1.07506, 13.8502, -44.995
[Jumat_17-10-2025_00-29-35], -16.1628, 8.01882, -43.8448
[Jumat_17-10-2025_00-29-36], 1.19055, 12.8465, -44.9938
[Jumat_17-10-2025_00-29-36], 2.12727, 13.4769, -44.9802
[Jumat_17-10-2025_00-29-37], -9.08273, 8.34817, -44.6385
[Jumat_17-10-2025_00-29-37], -4.2661, 23.991, -44.9204
[Jumat_17-10-2025_00-29-38], 11.2082, 8.80893, -44.4482
[Jumat_17-10-2025_00-29-38], 0.56513, 12.3103, -44.9986
[Jumat_17-10-2025_00-29-39], 6.63814, 22.9685, -44.807
[Jumat_17-10-2025_00-29-39], -13.844, 0.205795, -44.1556
[Jumat_17-10-2025_00-29-40], -3.42102, 24.9646, -44.9488
[Jumat_17-10-2025_00-29-40], 9.87116, 12.1499, -44.5725
[Jumat_17-10-2025_00-29-41], -0.0174398, 15.4931, -45
[Jumat_17-10-2025_00-29-41], 3.06489, 28.5686, -44.9589
[Jumat_17-10-2025_00-29-42], -12.0673, 3.71473, -44.3599
[Jumat_17-10-2025_00-29-42], -4.29616, 25.1642, -44.9192
[Jumat_17-10-2025_00-29-43], 8.17056, 7.71518, -44.7077
[Jumat_17-10-2025_00-29-43], -1.01469, 9.98888, -44.9955
[Jumat_17-10-2025_00-29-44], 1.69264, 21.7885, -44.9875
[Jumat_17-10-2025_00-29-44], -11.4887, -5.89897, -44.4202
[Jumat_17-10-2025_00-29-45], -4.89688, 21.0753, -44.8951
[Jumat_17-10-2025_00-29-45], 6.16581, 2.49489, -44.8338
[Jumat_17-10-2025_00-29-46], -0.641587, 15.923, -44.9982
[Jumat_17-10-2025_00-29-46], 3.10796, 24.5091, -44.9577
[Jumat_17-10-2025_00-29-47], -11.6181, -2.20903, -44.407
[Jumat_17-10-2025_00-29-47], -5.75765, 26.5616, -44.8547
[Jumat_17-10-2025_00-29-48], 2.53667, 7.18864, -44.9719
[Jumat_17-10-2025_00-29-48], 0.177772, 8.95592, -44.9999
[Jumat_17-10-2025_00-29-49], 4.70679, 21.8541, -44.9031
[Jumat_17-10-2025_00-29-49], -16.1649, 19.1054, -43.8433
[Jumat_17-10-2025_00-29-50], -7.39522, 14.3877, -44.7606
[Jumat_17-10-2025_00-29-50], -4.5944, 12.8332, -44.9078
[Jumat_17-10-2025_00-29-51], -3.89908, 17.0941, -44.9336
[Jumat_17-10-2025_00-29-51], -0.774513, 13.7317, -44.9974
[Jumat_17-10-2025_00-29-52], -2.35912, 14.3615, -44.9757
[Jumat_17-10-2025_00-29-52], -2.23841, 14.0808, -44.9781
[Jumat_17-10-2025_00-29-53], -2.13771, 14.3977, -44.98
[Jumat_17-10-2025_00-29-53], -2.0228, 14.3111, -44.9821
[Jumat_17-10-2025_00-29-54], -2.13975, 13.9433, -44.98
[Jumat_17-10-2025_00-29-55], -1.8143, 14.8454, -44.9856
[Jumat_17-10-2025_00-29-55], -2.13494, 14.4165, -44.9801
[Jumat_17-10-2025_00-29-56], -2.01131, 13.5379, -44.9823
[Jumat_17-10-2025_00-29-56], -2.05552, 13.7123, -44.9815
