Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-16-44], -1.98609, 9.06505, -44.9828
[Jumat_17-10-2025_00-16-44], -1.60595, 14.6524, -44.9887
[Jumat_17-10-2025_00-16-45], -17.2505, 12.8985, -43.6812
[Jumat_17-10-2025_00-16-45], 3.60021, 3.97371, -44.9434
[Jumat_17-10-2025_00-16-46], 5.4117, 14.6493, -44.8719
[Jumat_17-10-2025_00-16-46], -9.90355, 10.7427, -44.5698
[Jumat_17-10-2025_00-16-47], -7.70865, 14.6587, -44.7398
[Jumat_17-10-2025_00-16-47], 7.71832, 17.8793, -44.739
[Jumat_17-10-2025_00-16-48], 0.109308, 8.95557, -44.9999
[Jumat_17-10-2025_00-16-48], 5.23713, 14.8573, -44.8801
[Jumat_17-10-2025_00-16-49], -11.9291, 12.2559, -44.3743
[Jumat_17-10-2025_00-16-49], -5.18384, 16.143, -44.8825
[Jumat_17-10-2025_00-16-50], -13.5345, 20.0896, -44.1922
[Jumat_17-10-2025_00-16-50], 1.56219, 13.9805, -44.9893
[Jumat_17-10-2025_00-16-51], 4.67381, 15.8512, -44.9045
[Jumat_17-10-2025_00-16-51], -12.9722, 5.87671, -44.2594
[Jumat_17-10-2025_00-16-52], -9.89288, 19.4767, -44.5703
[Jumat_17-10-2025_00-16-52], 6.99442, 15.0685, -44.7859
[Jumat_17-10-2025_00-16-53], -1.56843, 13.1196, -44.9893
[Jumat_17-10-2025_00-16-53], 5.02755, 11.0427, -44.8895
[Jumat_17-10-2025_00-16-54], -10.0388, 5.56376, -44.558
[Jumat_17-10-2025_00-16-54], -7.9449, 18.6713, -44.7234
[Jumat_17-10-2025_00-16-55], 5.84486, 10.9614, -44.8506
[Jumat_17-10-2025_00-16-55], 1.6151, 15.445, -44.9886
[Jumat_17-10-2025_00-16-56], 7.35977, 18.185, -44.7627
[Jumat_17-10-2025_00-16-56], -10.0531, 13.0051, -44.5565
[Jumat_17-10-2025_00-16-57], -8.31415, 15.7328, -44.6971
[Jumat_17-10-2025_00-16-57], 6.0533, -10.28, -44.8398
[Jumat_17-10-2025_00-16-58], -0.942019, 4.47383, -44.9961
[Jumat_17-10-2025_00-16-58], -28.2726, -48.1961, -41.319
[Jumat_17-10-2025_00-16-59], 57.4416, -39.0047, -28.0938
[Jumat_17-10-2025_00-16-59], 20.4539, 12.7825, -43.1347
[Jumat_17-10-2025_00-17-00], -1.10309, 23.6444, -44.9947
[Jumat_17-10-2025_00-17-00], 3.9752, 19.4652, -44.9309
[Jumat_17-10-2025_00-17-01], 1.56244, 18.5214, -44.9893
[Jumat_17-10-2025_00-17-01], -3.05613, 21.6513, -44.9592
[Jumat_17-10-2025_00-17-02], -2.24161, 20.6797, -44.978
[Jumat_17-10-2025_00-17-02], 7.07547, 19.6052, -44.7807
[Jumat_17-10-2025_00-17-03], -2.87027, 12.6647, -44.964
[Jumat_17-10-2025_00-17-03], -1.14797, 15.8033, -44.9942
[Jumat_17-10-2025_00-17-26], -2.03018, 9.38747, -44.982
