Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-15-56], -2.03134, 9.30745, -44.982
[Jumat_17-10-2025_00-15-56], -1.73224, 14.199, -44.9869
[Jumat_17-10-2025_00-15-57], -1.78511, 13.8622, -44.9861
[Jumat_17-10-2025_00-15-57], -1.70279, 13.9536, -44.9873
[Jumat_17-10-2025_00-15-58], -1.75813, 13.9459, -44.9865
[Jumat_17-10-2025_00-15-58], -1.74621, 13.9309, -44.9867
[Jumat_17-10-2025_00-15-59], -1.70052, 14.0045, -44.9874
[Jumat_17-10-2025_00-15-59], -1.7579, 13.9574, -44.9865
[Jumat_17-10-2025_00-16-00], -1.72729, 13.9698, -44.987
[Jumat_17-10-2025_00-16-00], -1.57282, 14.7091, -44.9892
[Jumat_17-10-2025_00-16-01], -1.93721, 14.6444, -44.9836
[Jumat_17-10-2025_00-16-01], -1.5904, 16.0653, -44.989
[Jumat_17-10-2025_00-16-06], -2.02027, 8.95187, -44.9822
[Jumat_17-10-2025_00-16-07], -2.09121, 8.77456, -44.9809
[Jumat_17-10-2025_00-16-07], -1.65926, 14.1895, -44.988
[Jumat_17-10-2025_00-16-08], -1.7433, 13.8213, -44.9867
[Jumat_17-10-2025_00-16-08], -1.68278, 14.0292, -44.9876
[Jumat_17-10-2025_00-16-09], -1.59779, 13.9922, -44.9889
[Jumat_17-10-2025_00-16-09], -1.61721, 14.0354, -44.9886
[Jumat_17-10-2025_00-16-10], -1.64578, 14.0851, -44.9882
[Jumat_17-10-2025_00-16-10], -1.62506, 13.9676, -44.9885
[Jumat_17-10-2025_00-16-11], -0.791481, 14.9831, -44.9973
[Jumat_17-10-2025_00-16-11], -1.09871, 13.9786, -44.9947
