Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-28-27], -1.79122, 9.23784, -44.986
[Jumat_17-10-2025_00-28-27], -1.86068, 13.9747, -44.9849
[Jumat_17-10-2025_00-28-28], -15.1028, 14.146, -43.9926
[Jumat_17-10-2025_00-28-28], 1.52229, 7.40617, -44.9899
[Jumat_17-10-2025_00-28-29], 5.41507, 13.4738, -44.8718
[Jumat_17-10-2025_00-28-29], -11.146, 6.33699, -44.4544
[Jumat_17-10-2025_00-28-30], -1.81867, 20.4171, -44.9855
[Jumat_17-10-2025_00-28-30], 12.3949, 12.1138, -44.3241
[Jumat_17-10-2025_00-28-31], -1.20291, 10.2953, -44.9937
[Jumat_17-10-2025_00-28-31], 4.28705, 19.9382, -44.9196
[Jumat_17-10-2025_00-28-32], -8.05389, 3.72005, -44.716
[Jumat_17-10-2025_00-28-32], -7.64855, 19.9431, -44.7436
[Jumat_17-10-2025_00-28-33], -6.2599, 15.0833, -44.8286
[Jumat_17-10-2025_00-28-33], 2.65263, 8.82197, -44.9693
[Jumat_17-10-2025_00-28-34], 5.37594, 23.4833, -44.8735
[Jumat_17-10-2025_00-28-34], -12.3835, -4.67614, -44.3256
[Jumat_17-10-2025_00-28-35], -6.54306, 12.6327, -44.8127
[Jumat_17-10-2025_00-28-35], 10.2534, -7.8257, -44.5387
[Jumat_17-10-2025_00-28-36], 0.73564, 8.84625, -44.9976
[Jumat_17-10-2025_00-28-36], 3.54184, 25.9206, -44.9451
[Jumat_17-10-2025_00-28-37], -11.5784, -11.3815, -44.4108
[Jumat_17-10-2025_00-28-37], -8.18341, 22.3998, -44.7063
[Jumat_17-10-2025_00-28-41], 2.93768, 15.1764, -44.9623
[Jumat_17-10-2025_00-28-42], 3.57961, 17.9243, -44.944
[Jumat_17-10-2025_00-28-42], 4.80531, 18.1016, -44.899
[Jumat_17-10-2025_00-28-43], 0.737472, 20.1676, -44.9976
[Jumat_17-10-2025_00-28-45], 3.46927, 19.7786, -44.9474
[Jumat_17-10-2025_00-28-46], 6.38734, 22.9441, -44.8213
[Jumat_17-10-2025_00-28-46], 11.9884, 25.0496, -44.3669
[Jumat_17-10-2025_00-28-47], 3.17261, 19.7569, -44.956
[Jumat_17-10-2025_00-28-47], 5.28197, 9.58592, -44.8781
[Jumat_17-10-2025_00-28-48], 1.96807, 19.7977, -44.9831
[Jumat_17-10-2025_00-28-48], 6.49208, 18.7916, -44.8155
[Jumat_17-10-2025_00-28-49], 2.43532, 22.953, -44.9741
[Jumat_17-10-2025_00-28-49], 8.10606, 18.2933, -44.712
[Jumat_17-10-2025_00-28-50], 9.60259, 15.987, -44.5954
[Jumat_17-10-2025_00-28-50], 2.46474, 19.4734, -44.9735
[Jumat_17-10-2025_00-28-51], 4.87154, 16.4772, -44.8962
[Jumat_17-10-2025_00-28-51], 7.1212, 16.7902, -44.778
[Jumat_17-10-2025_00-28-52], 4.17264, 17.1757, -44.9239
