Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-19-36], -1.56751, 8.19453, -44.9893
[Jumat_17-10-2025_00-19-37], -1.5829, 14.498, -44.9891
[Jumat_17-10-2025_00-19-37], -17.2356, 11.6178, -43.6836
[Jumat_17-10-2025_00-19-38], 3.83058, 6.98404, -44.9359
[Jumat_17-10-2025_00-19-38], 3.79153, 14.8505, -44.9372
[Jumat_17-10-2025_00-19-39], -7.04618, 10.197, -44.7828
[Jumat_17-10-2025_00-19-39], -11.8113, 18.218, -44.3863
[Jumat_17-10-2025_00-19-40], 9.86147, 12.6612, -44.5734
[Jumat_17-10-2025_00-19-40], -0.635892, 9.99524, -44.9982
[Jumat_17-10-2025_00-19-41], 1.16258, 11.3171, -44.9941
[Jumat_17-10-2025_00-19-41], -10.3469, 6.01901, -44.5303
[Jumat_17-10-2025_00-19-42], -7.07089, 20.0323, -44.781
[Jumat_17-10-2025_00-19-42], 2.83949, 13.1749, -44.9648
[Jumat_17-10-2025_00-19-43], -1.05784, 11.8025, -44.9951
[Jumat_17-10-2025_00-19-43], 8.24759, 17.8796, -44.7019
[Jumat_17-10-2025_00-19-44], -13.466, 7.81678, -44.2013
[Jumat_17-10-2025_00-19-44], -3.88706, 17.0154, -44.934
[Jumat_17-10-2025_00-19-45], 4.71649, 9.10753, -44.9028
[Jumat_17-10-2025_00-19-45], 0.600369, 12.215, -44.9984
[Jumat_17-10-2025_00-19-46], 5.98666, 18.8754, -44.8431
[Jumat_17-10-2025_00-19-46], -10.9451, 3.88439, -44.4741
[Jumat_17-10-2025_00-19-47], -7.38835, 10.7014, -44.7611
[Jumat_17-10-2025_00-19-47], 6.89397, 5.89144, -44.7921
[Jumat_17-10-2025_00-19-48], 4.9334, 20.0029, -44.8935
[Jumat_17-10-2025_00-19-48], -3.88552, 9.25631, -44.9341
[Jumat_17-10-2025_00-19-49], -7.4236, 15.5571, -44.7587
[Jumat_17-10-2025_00-19-49], -8.4159, 20.1812, -44.6894
[Jumat_17-10-2025_00-19-50], 8.14631, 0.989867, -44.7095
[Jumat_17-10-2025_00-19-50], 3.83226, 20.3839, -44.9358
[Jumat_17-10-2025_00-19-51], -13.425, 9.92167, -44.2061
[Jumat_17-10-2025_00-19-52], -15.7803, 14.2277, -43.899
[Jumat_17-10-2025_00-19-52], -5.41991, 22.5472, -44.8714
[Jumat_17-10-2025_00-19-53], -19.9385, 14.271, -43.2291
[Jumat_17-10-2025_00-19-53], 4.94419, 5.72298, -44.8932
[Jumat_17-10-2025_00-19-54], -7.85839, 20.2431, -44.7293
[Jumat_17-10-2025_00-19-54], -2.99347, 17.6074, -44.9608
[Jumat_17-10-2025_00-19-55], -1.75963, 15.1637, -44.9865
[Jumat_17-10-2025_00-19-55], -2.03233, 14.2836, -44.982
[Jumat_17-10-2025_00-19-56], -2.27103, 14.5812, -44.9775
[Jumat_17-10-2025_00-19-56], -2.5624, 16.364, -44.9713
