Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Kamis_16-10-2025_02-30-10], 0.0104571, 0.0433734, 0.0114864
[Kamis_16-10-2025_02-30-10], 0.593055, 0.370338, 0.0791139
[Kamis_16-10-2025_02-30-11], 0.405901, -0.637871, -0.687337
[Kamis_16-10-2025_02-30-11], -0.168006, 0.436482, 0.801201
[Kamis_16-10-2025_02-30-12], -0.482862, 0.207204, 0.246539
[Kamis_16-10-2025_02-30-12], 0.202407, 0.477846, -1.24204
[Kamis_16-10-2025_02-30-13], 0.371391, -0.123543, 0.333179
[Kamis_16-10-2025_02-30-13], 0.13826, -0.291116, -0.0749825
[Kamis_16-10-2025_02-30-14], -0.333801, 0.0700093, 0.418467
[Kamis_16-10-2025_02-30-14], -0.370698, 0.0443766, 0.223571
[Kamis_16-10-2025_02-30-15], 0.388832, 0.457487, -0.739779
[Kamis_16-10-2025_02-30-15], 0.502656, 0.882943, 0.0181489
[Kamis_16-10-2025_02-30-16], 0.277016, -1.19683, -0.900176
[Kamis_16-10-2025_02-30-16], -0.446405, 0.783335, 0.124405
[Kamis_16-10-2025_02-30-17], -0.419445, -0.0499191, 0.491144
[Kamis_16-10-2025_02-30-17], 0.566192, -0.594027, -0.858405
[Kamis_16-10-2025_02-30-18], 0.492507, 1.15008, 0.675985
[Kamis_16-10-2025_02-30-18], -0.363048, -1.45126, 0.874919
[Kamis_16-10-2025_02-30-19], -0.805086, 1.33579, 0.0700001
[Kamis_16-10-2025_02-30-19], -0.196361, -0.363403, 0.40492
[Kamis_16-10-2025_02-30-20], 0.757803, 0.42083, -0.52649
[Kamis_16-10-2025_02-30-20], -0.0487707, 0.662599, 0.265813
[Kamis_16-10-2025_02-30-21], -0.218227, -0.326446, 0.369651
[Kamis_16-10-2025_02-30-21], -0.435601, 0.508533, -0.473123
[Kamis_16-10-2025_02-30-22], 0.0105553, -0.35687, 0.285842
[Kamis_16-10-2025_02-30-22], 0.361265, -0.0943684, -1.07484
[Kamis_16-10-2025_02-30-23], 0.494287, 0.0716825, -0.0799315
[Kamis_16-10-2025_02-30-23], -0.361743, -0.417637, 1.04333
[Kamis_16-10-2025_02-30-24], -0.449272, -0.0830582, 0.21224
[Kamis_16-10-2025_02-30-24], -0.300456, 0.368758, 0.0472786
[Kamis_16-10-2025_02-30-25], 0.846688, -0.45143, -1.4513
[Kamis_16-10-2025_02-30-25], 0.604783, 0.00475783, -0.186413
[Kamis_16-10-2025_02-30-26], 0.0508928, -0.37899, 0.320781
[Kamis_16-10-2025_02-30-26], -0.354062, 0.0373866, 0.888973
[Kamis_16-10-2025_02-30-27], -0.342213, 0.251702, 0.639198
[Kamis_16-10-2025_02-30-27], 0.39272, 0.237846, -1.43426
[Kamis_16-10-2025_02-30-28], 0.258673, -0.117877, -0.153375
[Kamis_16-10-2025_02-30-28], 0.160896, -0.461343, 0.0738043
[Kamis_16-10-2025_02-30-29], -0.512025, 0.172388, 0.875243
[Kamis_16-10-2025_02-30-29], -0.364249, 0.273809, 0.65881
[Kamis_16-10-2025_02-30-30], 0.377333, 0.201874, -1.25408
[Kamis_16-10-2025_02-30-30], 0.347478, -0.144734, -0.439622
[Kamis_16-10-2025_02-30-31], 0.261987, -0.482382, -0.387766
[Kamis_16-10-2025_02-30-31], -0.577476, 0.0309372, 1.00888
[Kamis_16-10-2025_02-30-32], -0.435719, 0.201836, 0.883509
[Kamis_16-10-2025_02-30-32], 0.386022, 0.276845, -1.31173
[Kamis_16-10-2025_02-30-33], 0.358164, -0.0850997, -0.404126
[Kamis_16-10-2025_02-30-34], 0.227579, -0.445286, -0.315863
[Kamis_16-10-2025_02-30-34], -0.594644, 0.0460587, 1.03925
[Kamis_16-10-2025_02-30-35], -0.43654, 0.139792, 0.881332
[Kamis_16-10-2025_02-30-35], 0.330445, 0.246822, -1.24517
[Kamis_16-10-2025_02-30-36], 0.299512, -0.0993108, -0.455845
[Kamis_16-10-2025_02-30-36], 0.053125, -0.581118, 0.339946
[Kamis_16-10-2025_02-30-37], -0.469151, 0.0921081, 0.780392
[Kamis_16-10-2025_02-30-37], -0.0594, 0.19156, 0.213009
[Kamis_16-10-2025_02-30-38], 0.0265069, 0.0396225, 0.0343207
[Kamis_16-10-2025_02-30-38], -0.001802, 0.0391413, 0.168008
[Kamis_16-10-2025_02-30-39], -0.0874648, -0.00889337, 0.00856815
[Kamis_16-10-2025_02-30-39], 0.0295873, 0.0736211, 0.0953346
[Kamis_16-10-2025_02-30-40], -0.049858, -0.0349351, 0.00593472
[Kamis_16-10-2025_02-30-40], -0.00908974, -0.0369, -0.00264349
[Kamis_16-10-2025_02-30-41], 0.00040826, 0.013331, -2.05723e-06
[Kamis_16-10-2025_02-30-41], 1.74276e-09, -0.000364522, 1.75573e-16
[Kamis_16-10-2025_02-30-42], 2.31167e-16, 2.22313e-06, 1.85347e-30
[Kamis_16-10-2025_02-30-42], 5.0302e-16, 4.4285e-12, 1.17399e-44
[Kamis_16-10-2025_02-30-43], -0.00135451, -1.5799e-07, -0.000182379
[Kamis_16-10-2025_02-30-43], 8.8225e-07, 4.58238e-08, -1.01387e-12
[Kamis_16-10-2025_02-30-44], 2.63388e-06, -0.000247738, 7.78195e-08
[Kamis_16-10-2025_02-30-44], -0.00723892, -0.0126396, -0.00332854
[Kamis_16-10-2025_02-30-45], 0.0104647, 0.00157955, 0.00800463
[Kamis_16-10-2025_02-30-45], -0.00477747, 0.0171738, -0.0242544
