Time                        , Roll, Pitch, Yaw
[Kamis_16-10-2025_02-42-34], -1.46304, 8.32373, -44.9907
[Kamis_16-10-2025_02-42-35], -3.24111, 11.0912, -44.9541
[Kamis_16-10-2025_02-42-35], -0.454365, 15.2132, -44.9991
[Kamis_16-10-2025_02-42-36], -0.136248, 12.1268, -44.9999
[Kamis_16-10-2025_02-42-37], -3.08706, 16.0231, -44.9584
[Kamis_16-10-2025_02-42-37], -4.69089, 17.4044, -44.9038
[Kamis_16-10-2025_02-42-38], 1.7742, 8.23954, -44.9863
[Kamis_16-10-2025_02-42-38], -3.13974, 10.1799, -44.957
[Kamis_16-10-2025_02-42-39], -1.36993, 11.2162, -44.9918
[Kamis_16-10-2025_02-42-39], 0.887984, 13.4595, -44.9966
[Kamis_16-10-2025_02-42-40], 0.334335, 15.2359, -44.9995
[Kamis_16-10-2025_02-42-40], -1.45859, 22.497, -44.9907
[Kamis_16-10-2025_02-42-41], -1.66205, 12.4634, -44.9879
[Kamis_16-10-2025_02-42-41], 2.71364, 13.0792, -44.9678
