Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_03-10-2025_22-47-23], -0.0037934, 0.00958675, -4.42438e-05
[Jumat_03-10-2025_22-47-24], 0.00136517, 0.00889109, -0.000229931
[Jumat_03-10-2025_22-47-24], -2.36989e-05, 0.0145507, -0.000173163
[Jumat_03-10-2025_22-47-25], -2.279e-07, 0.00903299, -2.0373e-07
[Jumat_03-10-2025_22-47-25], -0.000818768, 0.00957451, -3.70654e-06
[Jumat_03-10-2025_22-47-26], -1.44953e-06, 0.00926423, -4.96551e-15
[Jumat_03-10-2025_22-47-26], -0.000127933, 0.00942814, -7.86642e-13
[Jumat_03-10-2025_22-47-27], -0.00059291, 0.0116601, -1.38406e-26
[Jumat_03-10-2025_22-47-27], -0.000690061, 0.0114687, -1.36573e-12
[Jumat_03-10-2025_22-47-28], -0.000630268, 0.010885, -6.67482e-26
[Jumat_03-10-2025_22-47-28], -0.000657147, 0.0105993, -3.76436e-10
[Jumat_03-10-2025_22-47-29], -0.000589768, 0.0108236, -6.62321e-24
[Jumat_03-10-2025_22-47-29], -0.00106147, 0.0113007, -2.78841e-09
[Jumat_03-10-2025_22-47-30], -0.000178183, 0.0112964, -4.90608e-23
[Jumat_03-10-2025_22-47-30], -3.5014e-05, 0.0105957, -2.78841e-09
[Jumat_03-10-2025_22-47-31], -0.000353593, 0.0101285, -1.76619e-23
[Jumat_03-10-2025_22-47-31], -0.000376367, 0.0105754, -2.41641e-38
[Jumat_03-10-2025_22-47-32], -0.00354926, 0.0119955, -5.51003e-53
[Jumat_03-10-2025_22-47-32], -5.95263e-06, 0.0113658, -1.36677e-12
[Jumat_03-10-2025_22-47-33], -0.00170651, 0.0105956, -3.11657e-27
[Jumat_03-10-2025_22-47-33], -0.00171092, 0.0114901, -1.97405e-41
[Jumat_03-10-2025_22-47-34], -8.39775e-05, 0.0112429, -2.67997e-54
[Jumat_03-10-2025_22-47-34], -0.00224051, 0.0117275, -1.0185e-68
[Jumat_03-10-2025_22-47-35], -0.000212708, 0.0119833, -1.39412e-06
[Jumat_03-10-2025_22-47-35], -1.16729e-07, 0.0113857, -4.841e-09
[Jumat_03-10-2025_22-47-36], -0.000194239, 0.010387, -2.86133e-05
[Jumat_03-10-2025_22-47-36], -0.000127401, 0.0113308, -1.72932e-07
[Jumat_03-10-2025_22-47-37], -0.00126561, 0.0110757, -9.8841e-06
[Jumat_03-10-2025_22-47-37], -1.99822e-05, 0.0113811, -8.13102e-11
[Jumat_03-10-2025_22-47-38], -0.00333752, 0.0104568, -2.83191e-13
[Jumat_03-10-2025_22-47-38], -0.00060596, 0.0115203, -4.87861e-11
[Jumat_03-10-2025_22-47-39], -0.00274603, 0.0117848, -1.11244e-25
[Jumat_03-10-2025_22-47-39], -0.00172652, 0.012219, -0.000132444
[Jumat_03-10-2025_22-47-40], -0.00173413, 0.0119688, -1.04566e-09
[Jumat_03-10-2025_22-47-40], -0.000357827, 0.0120045, -1.71623e-05
[Jumat_03-10-2025_22-47-41], -0.00138609, 0.0119465, -2.29385e-14
[Jumat_03-10-2025_22-47-41], -0.00376476, 0.0118153, -6.72653e-28
[Jumat_03-10-2025_22-47-42], -0.00135508, 0.0110977, -1.31107e-12
[Jumat_03-10-2025_22-47-42], -6.22529e-05, 0.0115048, -4.98261e-27
[Jumat_03-10-2025_22-47-43], -0.000162164, 0.00843325, -5.90852e-07
[Jumat_03-10-2025_22-47-43], -0.00212845, 0.0105346, -0.000367797
[Jumat_03-10-2025_22-47-44], -0.000613267, 0.00889417, -1.67305e-09
[Jumat_03-10-2025_22-47-44], -9.92007e-06, 0.00995727, -3.61379e-10
[Jumat_03-10-2025_22-47-45], -0.000415659, 0.0100107, -0.000231712
[Jumat_03-10-2025_22-47-45], -0.000589315, 0.0109261, -1.02959e-05
[Jumat_03-10-2025_22-47-46], -0.00339246, 0.0116781, -3.70667e-06
[Jumat_03-10-2025_22-47-46], -5.84643e-07, 0.0112148, -6.2883e-08
[Jumat_03-10-2025_22-47-47], -2.88821e-05, 0.010579, -3.76436e-10
[Jumat_03-10-2025_22-47-47], -0.000353142, 0.0117518, -3.97393e-24
[Jumat_03-10-2025_22-47-48], -2.86033e-05, 0.0108337, -1.03184e-05
[Jumat_03-10-2025_22-47-48], -0.000588536, 0.00989843, -3.92141e-20
[Jumat_03-10-2025_22-47-49], -0.00170905, 0.0107708, -5.17663e-15
[Jumat_03-10-2025_22-47-49], -0.000220694, 0.0110273, -3.58592e-08
[Jumat_03-10-2025_22-47-50], -0.00277705, 0.0130394, -0.000220678
[Jumat_03-10-2025_22-47-50], -0.00144642, 0.0127162, -0.00120147
[Jumat_03-10-2025_22-47-51], 0.00450556, -0.0382729, 0.0141795
[Jumat_03-10-2025_22-47-51], 0.395677, 0.361512, -0.872236
[Jumat_03-10-2025_22-47-52], -0.144948, 0.0495592, -0.872538
[Jumat_03-10-2025_22-47-52], 0.216272, -0.189161, -0.203755
